time,url,dcl,load,fcp,lcp,cls,fid
1697790095.553,http://localhost:3000/,1211.5,1289.2000002861023,1024.8000001907349,1024.8000001907349,0,0
1699701926.993,http://localhost:3000/campgrounds,5417.5,5432.5,4608,4608,0,0
1699701949.5,http://localhost:3000/campgrounds,3801.9000000059605,6352.9000000059605,6372.800000011921,12787.200000017881,0.8060349197447713,0
1699701993.112,http://localhost:3000/,301.40000000596046,772.4000000059605,330.5,330.5,0,0
1699702011.448,http://localhost:3000/campgrounds,1937.300000011921,2093.2000000178814,4899.5,4899.5,0,0
1699702059.984,http://localhost:3000/campgrounds,2602.7000000178814,2693.5,4733.5,4733.5,0.4236589550019881,0
1699702073.556,http://localhost:3000/campgrounds,1847,1862.5,3753.5,3753.5,0.4236589550019881,0
1699702084.612,http://localhost:3000/campgrounds,1635.199999988079,1647.5999999940395,4568.399999976158,4568.399999976158,0.4236589550019881,0
1699702227.365,http://localhost:3000/campgrounds,3691.9000000059605,3730.0999999940395,3438.5999999940395,3438.5999999940395,0.06321520312482032,0
1699702249.271,http://localhost:3000/campgrounds,2341.7999999821186,2475.2999999821186,4549.899999976158,4549.899999976158,0.7383172766874949,0
1699702282.666,http://localhost:3000/,556.5,561.8000000119209,642.8000000119209,642.8000000119209,0.18044760165956694,0
1699702338.423,http://localhost:3000/campgrounds,1853.5,1860.3999999761581,1363.199999988079,1363.199999988079,0,0
1699702502.127,http://localhost:3000/campgrounds,1960.300000011921,2035.9000000059605,22775.100000023842,22775.100000023842,0,8.5
1699702511.897,http://localhost:3000/campgrounds,3588.100000023842,3603.5,2411,2411,0,0
1699702555.225,http://localhost:3000/campgrounds,4758.199999988079,4768.4000000059605,3108.0999999940395,3108.0999999940395,0,0
1699702645.702,http://localhost:3000/campgrounds,3391.5,3448.699999988079,4700.0999999940395,4700.0999999940395,1.9304558865611603,31
1699702950.94,http://localhost:3000/campgrounds,1900.0999999940395,1916.4000000059605,6968.300000011921,6968.300000011921,2.282911493445467,0
1699703010.553,http://localhost:3000/,408.90000000596046,421.09999999403954,497.5,497.5,0.3838096263988287,8.099999994039536
1699703036.34,http://localhost:3000/campgrounds,3262.199999988079,4012.5,4233.199999988079,4233.199999988079,0,8.100000023841858
1699703162.932,http://localhost:3000/,570.9000000059605,1046.9000000059605,562,562,0.11530328216337377,0
1699703398.23,http://localhost:3000/campgrounds,2621,3357.199999988079,15708.59999999404,15708.59999999404,1.1360301694480528,13.900000005960464
1699703412.895,http://localhost:3000/campgrounds,3383.4000000059605,3522.800000011921,0,0,0,0
1699703511.137,http://localhost:3000/campgrounds,3300.5,3318.0999999940395,0,0,0,0
1699703698.027,http://localhost:3000/campgrounds,3723.5,3739.9000000059605,0,0,0,0
1699703828.258,http://localhost:3000/campgrounds,2907.300000011921,2920.300000011921,11970.300000011921,11970.300000011921,0.7023129582837517,2.7999999821186066
1699703882.351,http://localhost:3000/,551.4000000059605,1057.800000011921,575.8000000119209,575.8000000119209,0,0
1699704040.577,http://localhost:3000/,987.9000000059605,1106,6183.699999988079,6183.699999988079,0.6598982747395833,0
1699704053.37,http://localhost:3000/campgrounds,3137.699999988079,3363.5999999940395,2244.899999976158,2244.899999976158,0,9
1699704247.36,http://localhost:3000/login,797.2999999821186,810.5,803.7999999821186,1103.5999999940395,0.06335375356290622,0
